lng,lat,kategorie,contact:website,addr:housenumber,addr:street,addr:postcode,addr:City,name,osm,contact:phone,opening_hours,image,contact:email,description
15.409424,47.081926,unternehmen,http://www.pjm.co.at,125,Waagner-Biro-Straße,,,PJM-Messtechnik,https://www.openstreetmap.org/node/4764105826,0316 228454,,,office@pjm.co.at,Messtechnik
15.4119425,47.0796693,treffen; unternehmen,,98a;98,,,,AVL-IT-Comp.;Helmut List Halle,https://www.openstreetmap.org/way/29716557,0316 584260,,https://commons.wikimedia.org/wiki/File:Helmut_List_Halle.jpg,martin.hauer@avl.com,"Das ehemalige, vor dem Abbruch bewahrte Industriegebäude, ist heute ein Veranstaltungsort und prägt seit 2002 das Kulturbild der Stadt.;IT"
15.4102702,47.0800048,erleben; treffen,http://www.smartcitygraz.at/more_vorort-dabeisein/,Container gegenüber Science Tower;Stadtteilmanagement vor.ort,,,,vor.ort Stadtteilmanagement;Leihradl vor.ort;vor.ort cafè + Cityaccess;Green Living Lab,https://www.openstreetmap.org/node/4790205441;https://www.openstreetmap.org/node/3986854239;https://www.openstreetmap.org/node/4858278269,0676 40 68 818;0676 4068817,Mo 12:00-14:00; Do 12:00-14:00,https://commons.wikimedia.org/wiki/File:Green_Living_Lab.jpg;https://commons.wikimedia.org/wiki/File:Vor.ort.jpg;https://commons.wikimedia.org/wiki/File:Leihradl_vor.ort.jpg,vorort@stadtlaborgraz.at;nana.poetsch@stadtlaborgraz.at,"Information, Austausch und Beteiligung rund um die Smart City Stadtteilentwicklung.;Freies WLAN im Stadtteil;Stadtteil-Fahrräder für jeden Anlass gratis und unkompliziert auszuleihen: vom Rennrad übers  Bmx bis zum Lastenrad. Die Räder wurden, zusammen mit den NachbarInnen und in Kooperation mit Rebikel, neu zusammengebaut.;Gemeinschaftsgarten: ein Ort der lokalen Produktion von Nahrungsmitteln, der Erholung, des Austauschs und der Kooperation. Tipp: Am Ende der Gartensaison wird jährlich ein „HAPPY END Erntedankfest“ vor Ort organisiert."
15.4099759,47.0782414,erleben; treffen,,10,Dreierschützengasse ,8020,Graz,Sitzecke,https://www.openstreetmap.org/node/4774465242,,,https://commons.wikimedia.org/wiki/File:Sitzecke_Eggenlend.jpg,,Ein gemütlicher Sitzbereich aus Holz. Durch schattenspendende Bäume ist es auch an heißen Tagen angenehm kühl und lädt zu einer kurzen Pause ein.
15.404523,47.0730667,kaufen,http://www.schluesseldienst-aufsperrdienst.at,32,Georgigasse ,8020,Graz,Eggenberger Schlüsseldienst,https://www.openstreetmap.org/node/1101682560,0316 583633,Mo–Fr 08:30 – 12:30 und 15:00 – 17:30; Donnerstag nachmittags und Samstag geschlossen,,,
15.4026385,47.0722038,kaufen,,,Hofbauerplatz,,,Bauernmarkt Eggenberg,https://www.openstreetmap.org/way/160782516,,Mi und Sa 6:00-13:00,,,Hier bieten viele Bauern aus der Umgebung ihre Köstlichkeiten an: von Obst und Gemüse bis zu Fleisch- und Fischspezialitäten. Der komplette Markt ist überdacht.
15.4046267,47.0743527,erleben; treffen,http://eggenberg.kneippbund.at/content/show/182/Aktuell.html,24,Lilienthalgasse ,8020,Graz,Kneipp Aktiv Club Eggenberg,https://www.openstreetmap.org/node/4774471859,0316 581265,,,kneipp@telering.at oder kkienreich@a1.net,"Regelmäßige Wanderungen, wöchentliche Bewegungsangebote und andere Veranstaltungen für Mitglieder und Nichtmitglieder"
15.4043657,47.081515,kaufen,,34,Peter-Tunner-Gasse ,8020,Graz,Trafik,https://www.openstreetmap.org/node/1251189841,0316 571044,"Mo, Di, Do, Fr 7:00 - 12:30 und 14:30 - 18:00, Mi 7:00 - 12:30 und 14:30 - 18:30, Sa 7:00 - 12.00;",,,"Zeitschriften, Tabakwaren, Lotto und mehr"
15.40401,47.0810324,kaufen,http://www.friseur-leitinger.at,45,Peter-Tunner-Gasse ,8020,Graz,Modefriseur Leitinger,https://www.openstreetmap.org/node/3590611712,,Mo-Fr 8:30-18:00; Sa 8:00-13:00; Di geschlossen,,salon@friseur-leitinger.at,Friseur
15.4064456,47.0736412,kaufen,http://www.putzerei-schneiderei.at,14,Rochelgasse ,8020,Graz,Putzerei/Schreiderei Fuchsbichler,https://www.openstreetmap.org/node/2307853212,0316 581121,Mo-Fr  8:00-18:00,https://commons.wikimedia.org/wiki/File:Fuchsbichler.jpg,putzerei.schneiderei@aon.at,"Die Putzerei/Schneiderei Fuchsbichler repariert, pflegt, wäscht und reinigt Ihre Wäsche, Kleidung und Textilien schonend und umweltbewusst."
15.4098159,47.0740789,treffen,http://www.rettet-das-kind-stmk.at/joomla/index.php/familienzentrum-wohin,19,Starhemberggasse ,8020,Graz,Familienzentrum WOHIN,https://www.openstreetmap.org/node/4799671013,0316 573432,"Mo - Fr 8:00-12:00, Mi 14:00-16:00 oder nach  Vereinbarung",https://commons.wikimedia.org/wiki/File:Familienzentrum_WOHIN.jpg,office@wohin.co.at,"Beratungs- und Betreuungseinrichtung für Familien (Kinder, Jugendliche, Einzelpersonen)  im Sozialraum IV  der Stadt Graz. Das Team – bestehend aus SozialarbeiterInnen und Soziologen – berät bei persönlichen Fragestellungen, Arbeits- und Wohnungssuche, innerfamiliären Krisen, Erziehung und Partnerschaft und finanziellen Angelegenheiten. Für Kinder und Jugendliche werden außerdem freizeitpädagogische Gruppenaktivitäten (z.B. Ausflüge, Spielenachmittage, Schwimmen) angeboten."
15.4048928,47.0726799,essen,http://www.alt-eggenberg.net,20,Vinzenzgasse,8020,Graz,Cafè Alt Eggenberg,https://www.openstreetmap.org/node/2307853184,0664 2725314,Mo-Fr 9:00-22:00; Samstag für Veranstaltungen,,,Kleines Kaffeehaus mit Mittagsmenü. Für kleine Gruppen werden auf Bestellung auch spezielle Gerichte gekocht.
15.4049043,47.0728631,kaufen,,22,Vinzenzgasse,8020,Graz,Trafik Brigitte Namor,https://www.openstreetmap.org/node/2307853313,0316 576520,,,,
15.4043562,47.0763238,erleben,https://venuzle.at/anbieter/bezirkssportplatz-st-vinzenz/,,Vinzenzgasse,8020,Graz,Bezirkssportplatz,https://www.openstreetmap.org/way/94337860,,Die Öffentliche Nachtruhe 22:00 – 6:00,https://commons.wikimedia.org/wiki/File:Bezirkssportplatz.jpg,,"Ca. 7.800 m² Sportplatzflächen für jedes Alter: Tennis, Fußball, Basketball, Tischtennis. Wasserbrunnen sind vorhanden."
15.4131855,47.0750773,unternehmen,,45 und 117,,,,Franz Eberhardt,https://www.openstreetmap.org/way/245081395,0316 5972,,https://commons.wikimedia.org/wiki/File:Lager_Industrie.jpg,office@stahl-eberhardt.at,Stahlgroßhandel
15.4131168,47.075289,unternehmen,http://www.vam.bilfinger.com,47,Waagner-Biro-Straße ,,,VAM Anlagentechnik,https://www.openstreetmap.org/node/4764185615,0316 572139,,,vam@bilfinger.com,Anlagentechnik
15.4130698,47.075269,unternehmen,http://www.neptun.co.at,47,Waagner-Biro-Straße ,,,Neptun-Stahl,https://www.openstreetmap.org/node/4764197002,0316 5033247,,,cschaar@neptun.co.at,Stahlgroßhandel
15.4131,47.07533,unternehmen,http://www.ms-stahlhandel.at/index.php?id=122,47,Waagner-Biro-Straße ,,,Mechel Service,,0662 4315561610,,,office@ms-stahlhandel.at,Stahlgroßhandel
15.4114342,47.0782622,erleben; treffen,http://www.meine-kinder.at/i/spielplatz-konsumwiese-graz/,65,Waagner-Biro-Straße ,8020,Graz,Konsumwiese,https://www.openstreetmap.org/way/161095625,,,https://commons.wikimedia.org/wiki/File:Konsumwiese_Waagner-Biro.jpg,,"Ein eingezäunter Spielplatz mit einer Rutsche, einer Korbschaukel, einer Sandkiste und einem Kletterturm. Sitzmöglichkeiten sind vorhanden."
